procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 3  2      0  76596   1224 153956    0    0 22072    86  650  757  7  4 61 26  2 2025-04-19 13:03:31
 0  0      0  87412    948 145844    0    0 75132    39 1435 1402  1  3 78 17  1 2025-04-19 13:03:36
 0  0      0  99308   3928 113516    0    0  4813    10  675  818  1  1 97  0  0 2025-04-19 13:03:41
 0  0      0  84428    424 149652    0    0 174714    10 1870 2007  1  4 34 60  2 2025-04-19 13:03:46
 0  0      0 104272   1068 130404    0    0 43029     6  749  805  1  1 89  9  0 2025-04-19 13:03:51
 6  4      0  84144    584 137324    0    0 83725    13 1368 1484  1  2 71 25  1 2025-04-19 13:03:56
 6  8      0  70928    872 163784    0    0 212052    13 3742 5403  1  5  2 90  1 2025-04-19 13:04:01
 5  3      0  70608   1148 157968    0    0 214665    15 2167 1785  7  5  3 83  2 2025-04-19 13:04:07
 1  0      0  80464    772 150424    0    0 135273    22 1505 1469  1  3 53 43  1 2025-04-19 13:04:12
 0  0      0  86080    612 145892    0    0  5755    11  507  715  1  1 98  0  0 2025-04-19 13:04:17
 0  6      0  67828    292 147672    0    0 126722     5 1858 1679  8  3 53 35  1 2025-04-19 13:04:22
 7  7      0  85536    460 143516    0    0 226306    18 2074 1848  3  5  1 90  1 2025-04-19 13:04:28
 8  3      0  64396    492 164016    0    0 227258    22 1771 1635  1  4  1 93  1 2025-04-19 13:04:33
 7 11      0  63580    296 165224    0    0 235998    13 1943 1701  1  4  2 92  1 2025-04-19 13:04:39
 8 21      0  64856    316 163244    0    0 260786    31 2037 1984  1  5  1 93  1 2025-04-19 13:04:45
11 17      0  90924    240 136744    0    0 261232    11 2306 2311  3  5  0 91  1 2025-04-19 13:04:52
13 17      0  68324     96 160536    0    0 250786     9 2131 2377  1  5  0 94  1 2025-04-19 13:04:58
 3 20      0  78864    496 149496    0    0 275598    10 2460 2706  1  5  0 94  1 2025-04-19 13:05:04
 0 23      0  82424    220 146400    0    0 262234     9 2235 2516  1  4  0 94  1 2025-04-19 13:05:11
19 27      0  69628    236 160564    0    0 249287     6 2284 2759  1  5  0 93  1 2025-04-19 13:05:17
 8 21      0  70052    208 160448    0    0 255790     6 6872 11353  3  5  1 89  1 2025-04-19 13:05:23
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0 21      0  87880    140 141076    0    0 320219    10 2761 3009  1  5  0 94  1 2025-04-19 13:05:31
 8 19      0  68048    256 160416    0    0 276991    10 2691 3126  1  5  0 94  1 2025-04-19 13:05:38
14 12      0  71376    312 155800    0    0 272750     8 2504 2735  1  5  0 94  1 2025-04-19 13:05:44
 2 27      0  90264    244 136884    0    0 254819     5 3821 5468  4  5  0 90  1 2025-04-19 13:05:51
18 13      0  60344    372 166728    0    0 251243     6 3736 5237  2  5  0 92  1 2025-04-19 13:05:57
20  5      0  80756    296 146760    0    0 266014     6 2663 2787  3  5  0 92  1 2025-04-19 13:06:03
 9 15      0  66316    764 157656    0    0 243662     8 2471 2967  1  5  0 94  1 2025-04-19 13:06:09
14 15      0  95248    516 131836    0    0 259164    16 2395 2683  1  5  0 93  1 2025-04-19 13:06:15
 2 28      0  81840    456 143276    0    0 264640     5 2471 2973  2  5  0 93  1 2025-04-19 13:06:22
12 14      0  92776    256 132200    0    0 270042     6 2323 2504  2  5  0 92  1 2025-04-19 13:06:29
11 18      0  74664    332 149812    0    0 263255     4 2320 2802  1  4  0 93  2 2025-04-19 13:06:35
 9 19      0  69600    232 155204    0    0 258627     6 2018 2168  1  5  0 94  1 2025-04-19 13:06:41
27  6      0  68612    332 155776    0    0 248398    12 2374 2520  2  5  0 93  1 2025-04-19 13:06:47
 5 25      0 100068    160 124424    0    0 267433    17 2464 2350  4  5  0 90  1 2025-04-19 13:06:54
12  9      0  65488    656 158224    0    0 260510     8 2250 2360  1  4  0 94  1 2025-04-19 13:07:00
16  8      0  64928    396 158084    0    0 245069     6 2603 2006 11  6  0 82  1 2025-04-19 13:07:06
 1 16      0  90140    352 130596    0    0 239942     7 2168 2112  2  5  1 91  1 2025-04-19 13:07:12
 3 23      0  65848    288 153372    0    0 229398     6 2134 4284  2  5  1 91  1 2025-04-19 13:07:18
16 13      0  82540    252 137788    0    0 248684    14 2348 2615  1  5  0 94  1 2025-04-19 13:07:24
 0 45      0  77812    268 144884    0    0 242730    18 2211 2222  1  5  1 92  1 2025-04-19 13:07:30
21 18      0  74056    544 148308    0    0 269988     6 4089 5412  1  5  0 92  1 2025-04-19 13:07:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2 15      0  68404    392 157944    0    0 239736    30 2403 1938  6  5  0 87  1 2025-04-19 13:07:42
26  7      0  78396    168 149224    0    0 233872    30 1959 1852  1  4  1 93  1 2025-04-19 13:07:48
 9  6      0  74844    632 149372    0    0 232432     2 2093 1756  4  5  2 89  0 2025-04-19 13:07:54
 0  0      0  89656    412 139500    0    0 156304    14 2191 2587  3  4 33 60  1 2025-04-19 13:07:59
 0  1      0  72024    528 153740    0    0 67546    23 1228 1397  1  2 80 15  1 2025-04-19 13:08:04
 0  0      0  91208    108 136588    0    0 50625    30  846  996  0  2 86 11  0 2025-04-19 13:08:09
 0  0      0  76340    828 150420    0    0  2552     6  448  616  0  0 95  4  0 2025-04-19 13:08:14
 0  0      0  80632    300 147392    0    0 91917    13 1562 1838  1  3 76 20  0 2025-04-19 13:08:19
 0  0      0  82132    752 140112    0    0  3420     5  441  621  0  0 99  0  0 2025-04-19 13:08:24
 0  0      0  87760    428 140204    0    0 90605    10 1452 1718  1  3 70 26  0 2025-04-19 13:08:29
 0  0      0  77068   2040 151232    0    0  9484    12  609  741  0  1 98  1  0 2025-04-19 13:08:34
 4  1      0  64900    304 167560    0    0 77142    22 1377 1652  1  2 76 20  1 2025-04-19 13:08:39
 1  0      0  70232    636 162400    0    0 10617    10  443  626  0  1 99  0  0 2025-04-19 13:08:44
 1  0      0  69212    756 160700    0    0 29240     6  768  997  1  1 93  5  0 2025-04-19 13:08:49
 0  0      0  81620   1816 127544    0    0 183282    18 2429 2404  1  5 34 59  1 2025-04-19 13:08:54
 0  0      0  69572   2560 152564    0    0 12338    28  632  753  0  1 97  1  0 2025-04-19 13:08:59
 4  2      0  65660    572 154036    0    0 55198    22 1172 1424  1  2 83 13  1 2025-04-19 13:09:04
 0  0      0 105692   1220 122260    0    0 90767    32 1241 1320  1  2 71 25  1 2025-04-19 13:09:09
 0  0      0  77468   1360 151488    0    0  5850     9  395  597  0  0 99  0  0 2025-04-19 13:09:14
 0  0      0 101964    292 130168    0    0 78026    10 1347 1657  1  2 75 21  0 2025-04-19 13:09:19
 0  0      0  84324    712 147256    0    0  3489    21  439  620  0  0 99  0  0 2025-04-19 13:09:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0  0      0  88104    516 143972    0    0 89450    10 1371 1623  1  3 70 26  1 2025-04-19 13:09:29
 0  0      0  87212    456 144016    0    0 10906    22  531  676  0  0 98  1  0 2025-04-19 13:09:34
 3  0      0  88076    264 143576    0    0 46452    15 1069 1299  1  2 89  7  0 2025-04-19 13:09:39
 0  0      0 103504    536 127888    0    0 30594    10  724  908  0  1 93  6  0 2025-04-19 13:09:44
 1  1      0  77144    560 150060    0    0  8721    11  560  771  1  1 98  0  0 2025-04-19 13:09:49
 0  0      0  74396    400 156312    0    0 71621    10 1300 1574  1  2 78 18  0 2025-04-19 13:09:54
 0  0      0  77904    528 153160    0    0  7590    10  521  735  0  1 98  1  0 2025-04-19 13:09:59
