procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  81572    412 149528    0    0 73738    10 1191 1530  1  2 80 14  2 2025-04-19 13:10:04
 1  0      0  86804    640 142532    0    0  2745    10  459  664  0  1 98  0  1 2025-04-19 13:10:09
 0  0      0  74552   1688 150984    0    0 97629    11 1620 1878  1  3 68 28  0 2025-04-19 13:10:14
 0  0      0  84032    992 143280    0    0 16994    18  631  769  0  1 97  2  0 2025-04-19 13:10:19
 2  2      0  68228    588 161652    0    0 59434    22 1198 1445  1  2 80 17  1 2025-04-19 13:10:24
 0  0      0  66104    556 163784    0    0 82293     6 1108 1153  1  2 72 25  0 2025-04-19 13:10:29
 0  0      0  79020    724 150804    0    0  2788     5  459  622  0  0 99  0  0 2025-04-19 13:10:34
 0  0      0  91676    556 137888    0    0 70663     0 1356 1621  1  2 82 14  1 2025-04-19 13:10:39
 1  0      0  68744   1140 160148    0    0  4558    11  462  635  0  0 99  0  0 2025-04-19 13:10:44
 0  0      0  86412    536 141052    0    0 86427     7 1578 1872  1  3 77 19  0 2025-04-19 13:10:49
 0  0      0  77792    752 149752    0    0  8062    14  417  598  0  1 98  0  0 2025-04-19 13:10:54
 6  0      0  90308    152 139832    0    0 47446    25 1029 1329  1  2 86 12  1 2025-04-19 13:10:59
 0  0      0  73716   2000 151300    0    0 40459    18  967 1079  1  2 88  9  1 2025-04-19 13:11:04
 1  0      0  70584    872 146336    0    0  5148     1  467  627  0  1 98  0  0 2025-04-19 13:11:09
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0  0      0  73012    796 156188    0    0 83468     6 1351 1578  1  2 79 17  0 2025-04-19 13:11:14
 0  0      0  89300    584 139084    0    0  3028    10  459  659  0  1 99  0  0 2025-04-19 13:11:19
 0  0      0  71924    392 157176    0    0 106010     5 1464 1738  1  3 67 28  1 2025-04-19 13:11:24
 0  0      0  93824    452 134336    0    0  1669    10  448  638  0  1 99  0  0 2025-04-19 13:11:29
 1  1      0  71988    252 157044    0    0 80954    15 1206 1488  1  2 71 26  0 2025-04-19 13:11:34
 0  0      0  79324    692 146884    0    0 46601    10  914 1023  1  2 90  7  1 2025-04-19 13:11:39
 1  1      0  71632   1060 157364    0    0  4358     9  422  600  0  0 99  0  0 2025-04-19 13:11:44
 0  0      0  70940    608 160100    0    0 87671    18 1404 1632  1  3 73 23  0 2025-04-19 13:11:49
 0  0      0  78544    704 148940    0    0  1118     5  391  571  0  1 99  0  0 2025-04-19 13:11:54
 0  0      0  83280    492 147312    0    0 111392     5 1634 1851  1  3 65 31  0 2025-04-19 13:11:59
 0  0      0  68760    756 161336    0    0  3630    10  428  597  0  1 99  0  0 2025-04-19 13:12:04
 1  1      0  92048    240 138768    0    0 55246    21 1207 1473  1  2 84 12  1 2025-04-19 13:12:10
 0  0      0  87528    532 142544    0    0 44788    13  764  938  0  1 87 11  0 2025-04-19 13:12:15
 0  0      0  79464    832 150208    0    0  1581     5  441  690  0  0 99  0  0 2025-04-19 13:12:20
 0  0      0  67036    812 163116    0    0 85092    10 1417 1653  1  3 76 20  1 2025-04-19 13:12:25
 0  0      0  82660    624 147552    0    0   958     5  409  614  0  1 99  0  0 2025-04-19 13:12:30
 0  0      0  76744    724 150296    0    0 111954    10 1573 1807  1  3 62 33  1 2025-04-19 13:12:35
 0  0      0  80524    864 146800    0    0 14617     9  543  685  0  1 98  1  1 2025-04-19 13:12:40
 2  0      0  88640    508 142584    0    0 64041    12 1187 1446  1  2 79 17  0 2025-04-19 13:12:45
 0  0      0  90408    440 141068    0    0 52628    10  867 1026  1  2 83 14  1 2025-04-19 13:12:50
 0  0      0  67040   2984 158096    0    0  7646    15  555  725  0  1 97  1  1 2025-04-19 13:12:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0  0      0  70636   1988 157264    0    0 76197    10 1393 1636  1  2 81 15  1 2025-04-19 13:13:00
 1  0      0 100252   1716 127108    0    0  2611    12  456  638  0  1 98  0  1 2025-04-19 13:13:05
 0  0      0  81612    796 149084    0    0 69699    22 1311 1602  1  2 81 15  1 2025-04-19 13:13:10
 0  0      0  81080    540 146316    0    0  3982     6  377  574  0  1 96  2  1 2025-04-19 13:13:15
 2  0      0  75568    256 153548    0    0 88747    30 1433 1783  1  2 71 25  0 2025-04-19 13:13:20
 0  0      0  79972   1656 144812    0    0 23637     6  629  763  1  1 95  3  1 2025-04-19 13:13:25
 0  1      0  85484    184 142684    0    0 13730    10  529  737  0  1 97  2  0 2025-04-19 13:13:30
 0  0      0  66912    676 161588    0    0 74867    10 1269 1526  1  3 77 20  0 2025-04-19 13:13:35
 0  0      0  82192   1840 141092    0    0 14418    17  806  931  1  1 96  1  1 2025-04-19 13:13:40
 1  0      0  76400    832 150460    0    0 82635    26 1379 1640  1  2 82 15  0 2025-04-19 13:13:45
 0  0      0  89564   1136 134616    0    0 14498    26  698  867  1  1 97  1  0 2025-04-19 13:13:50
 0  0      0  76328    568 151436    0    0 91181    19 1365 1585  1  3 74 22  1 2025-04-19 13:13:55
 0  0      0  79944    760 147092    0    0  7648    18  555  721  0  1 98  0  0 2025-04-19 13:14:00
 0  0      0  68584    696 158012    0    0 69013    10 1283 1549  1  2 79 18  1 2025-04-19 13:14:05
 0  0      0  74196    612 152828    0    0  9142    18  494  645  0  1 98  1  0 2025-04-19 13:14:10
 0  1      0  87660   1184 130412    0    0 24542     6  889 1244  1  1 94  4  0 2025-04-19 13:14:15
 0  0      0  66628    796 161324    0    0 63181    15 1013 1150  1  2 79 18  0 2025-04-19 13:14:20
 1  0      0  76212   1680 147512    0    0  6466     9  544  701  0  1 98  1  0 2025-04-19 13:14:25
 0  0      0  68472    596 159156    0    0 85476    28 1481 1722  1  3 80 16  1 2025-04-19 13:14:30
 0  0      0  95432    308 132144    0    0  6937     6  439  611  0  1 98  1  0 2025-04-19 13:14:35
 0  0      0  75916    380 151164    0    0 96865    18 1431 1719  1  3 71 25  1 2025-04-19 13:14:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  66080    944 156344    0    0 12884     5  477  644  0  1 98  1  0 2025-04-19 13:14:45
 2  3      0  76100    336 146848    0    0 41021     0 1021 1322  1  1 88  9  0 2025-04-19 13:14:50
 0  0      0  91844    408 126480    0    0 66987    12  967 1109  0  2 82 15  1 2025-04-19 13:14:55
 0  0      0  83024    588 138296    0    0  2386    20  401  625  0  0 99  0  0 2025-04-19 13:15:00
 0  0      0 102004    624 123652    0    0 94718     5 1480 1788  1  3 70 25  2 2025-04-19 13:15:05
 1  0      0  68264    848 156136    0    0  6432    10  433  635  0  0 99  0  0 2025-04-19 13:15:10
 0  0      0  77492    620 148404    0    0 85390    10 1404 1639  1  2 73 23  1 2025-04-19 13:15:15
 0  0      0  85252   2320 135348    0    0  8575    15  537  773  1  1 98  1  0 2025-04-19 13:15:20
 0  3      0  75880   1200 142136    0    0 24088    16  885 1212  1  1 93  4  0 2025-04-19 13:15:25
 1  0      0  66424    556 159444    0    0 84540    18 1134 1225  1  2 73 24  0 2025-04-19 13:15:30
 0  0      0  70628   1988 150676    0    0  5613    14  475  666  0  1 99  0  0 2025-04-19 13:15:35
 0  0      0  83640    492 141612    0    0 129695     7 1945 2130  1  4 54 40  1 2025-04-19 13:15:40
 0  0      0  88272    544 136888    0    0  7089    13  439  604  0  1 99  0  0 2025-04-19 13:15:45
 3  2      0  76256    792 147124    0    0 45926    17 1090 1419  1  2 87 10  0 2025-04-19 13:15:50
 0  0      0  79840    516 143728    0    0 79858    25 1075 1213  1  2 75 21  1 2025-04-19 13:15:55
 0  0      0  67564   1156 156196    0    0  9866     8  590  730  0  1 98  1  0 2025-04-19 13:16:00
 0  0      0  76420    832 148864    0    0 64838     8 1273 1540  1  2 85 12  1 2025-04-19 13:16:05
 0  0      0  84468    860 125708    0    0  1160    10  475  645  0  1 99  0  0 2025-04-19 13:16:10
 0  0      0  68564    548 158220    0    0 83629     5 1404 1683  1  2 76 21  0 2025-04-19 13:16:15
 0  0      0  77484    736 148916    0    0  9754    10  580  731  1  1 98  0  0 2025-04-19 13:16:20
 0  1      0  74000    344 152516    0    0 42433     6 1006 1282  1  1 89  9  1 2025-04-19 13:16:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 1  0      0  66084    732 159960    0    0 32453    23  739  891  0  1 94  4  1 2025-04-19 13:16:30
 0  0      0  84716    344 141360    0    0  4330    14  440  626  0  1 99  0  0 2025-04-19 13:16:35
 1  0      0  91904    284 134452    0    0 104813    10 1656 1920  1  4 70 24  1 2025-04-19 13:16:40
 0  0      0  68720    840 157016    0    0  4610    11  460  635  1  0 98  0  1 2025-04-19 13:16:45
 1  3      0  77512    308 149236    0    0 127869    14 1716 1879  1  3 55 40  1 2025-04-19 13:16:51
 1  1      0  78476   2064 141312    0    0 44056    15  930 1058  1  1 88 10  0 2025-04-19 13:16:56
 0  0      0  77960   2244 141584    0    0  4182    15  503  648  0  1 99  0  0 2025-04-19 13:17:01
 1  0      0  84756   1908 136660    0    0 89392    18 1426 1729  1  3 77 18  1 2025-04-19 13:17:06
 0  0      0  84416   1696 137272    0    0  4697    15  510  694  0  1 98  0  0 2025-04-19 13:17:11
 0  0      0  76464    620 149108    0    0 98246    19 1545 1790  1  3 73 23  1 2025-04-19 13:17:16
 0  0      0  74908    432 138972    0    0  4790    21  484  679  0  1 99  0  0 2025-04-19 13:17:21
 1  1      0  70512   1208 147028    0    0 41975    15  977 1186  1  2 90  8  0 2025-04-19 13:17:26
 0  0      0  71808    848 153748    0    0 64356    22  975 1113  0  2 80 17  0 2025-04-19 13:17:31
 2  0      0  87528    664 137956    0    0  3651     5  419  596  0  0 99  0  0 2025-04-19 13:17:36
 0  0      0  76104    580 150356    0    0 107074    15 1877 2294  2  3 68 26  1 2025-04-19 13:17:41
 0  0      0  75036    800 151060    0    0  3417     5  421  601  0  0 99  0  0 2025-04-19 13:17:46
 0  0      0  77776    484 145836    0    0 107228    17 1672 1823  1  3 69 27  0 2025-04-19 13:17:51
 1  0      0  90216    844 133492    0    0  7037     5  426  619  0  1 99  0  0 2025-04-19 13:17:56
 0  2      0  71424    916 141388    0    0 42007     9 1087 1427  1  2 88  9  0 2025-04-19 13:18:01
 0  0      0  92788    500 129824    0    0 68990    15  966 1100  0  2 80 17  1 2025-04-19 13:18:06
 0  0      0  89544    564 132992    0    0  4324     5  461  608  0  1 99  0  0 2025-04-19 13:18:11
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  1      0  79696    500 143244    0    0 176580    10 2200 2147  1  4 37 57  1 2025-04-19 13:18:16
 0  0      0  93912    784 128976    0    0 41302    10  779  968  1  1 88  9  1 2025-04-19 13:18:21
 0  0      0  74192   1020 144260    0    0  3090     6  403  598  0  0 99  0  0 2025-04-19 13:18:26
 0  0      0  84016    512 134928    0    0 153222    10 1988 2175  1  4 51 43  0 2025-04-19 13:18:31
 0  0      0  75732   1216 140676    0    0 13545    13  673  783  1  1 97  1  0 2025-04-19 13:18:36
 5  4      0  74104    384 144112    0    0 81734    19 1258 1517  1  3 67 30  0 2025-04-19 13:18:41
 0  1      0  85840    952 132052    0    0 154170    27 1651 1655  1  3 43 52  1 2025-04-19 13:18:46
 1  0      0 102984    684 116864    0    0 12781     8  586  752  0  1 97  1  1 2025-04-19 13:18:51
 3  1      0  75756    540 145440    0    0 138866    18 1686 1806  1  3 50 45  1 2025-04-19 13:18:56
 0  0      0  77316   2004 138956    0    0 52382    18  936 1060  1  2 86 11  0 2025-04-19 13:19:01
 0  0      0  73708   1200 143180    0    0 10037    22  561  722  0  1 98  1  0 2025-04-19 13:19:06
 1  1      0  74024    280 146584    0    0 187582    11 2096 2230  1  4 30 64  0 2025-04-19 13:19:11
 0  0      0  91528    520 128760    0    0 34258     5  724  904  0  1 94  4  0 2025-04-19 13:19:16
 0  1      0  91880    468 129464    0    0 10704     5  491  697  0  1 98  1  0 2025-04-19 13:19:21
 0  0      0  81996    380 138960    0    0 132345    12 1634 1763  1  3 57 38  0 2025-04-19 13:19:26
 1  0      0  79080    716 141552    0    0  3514    11  443  603  0  1 99  0  0 2025-04-19 13:19:31
 1  2      0  84068    380 134556    0    0 118276     8 1589 1802  1  3 52 42  1 2025-04-19 13:19:36
 0  0      0  72212    644 148204    0    0 140430    29 1530 1491  1  3 50 46  0 2025-04-19 13:19:41
 0  0      0  68232    368 152816    0    0 10244     9  525  688  0  1 98  0  1 2025-04-19 13:19:46
 0  0      0  82180    476 139472    0    0 97629     7 1509 1753  1  3 71 25  1 2025-04-19 13:19:51
 1  0      0  81096    740 140040    0    0  7470    10  451  625  0  1 98  1  0 2025-04-19 13:19:56
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 1  3      0  72052    656 141868    0    0 57032     6 1039 1258  1  2 83 13  1 2025-04-19 13:20:01
 0  0      0  71416    960 147760    0    0 150290    21 1650 1793  1  3 42 52  1 2025-04-19 13:20:06
 0  0      0  81304    868 139464    0    0  3075    11  467  661  0  1 99  0  0 2025-04-19 13:20:11
 1  2      0  71796    540 150380    0    0 81026    27 1359 1609  1  2 74 22  0 2025-04-19 13:20:16
 0  0      0  77032    788 144612    0    0 30220    10  747  916  0  1 93  5  0 2025-04-19 13:20:21
 0  1      0  71236    716 149764    0    0  5638     5  492  651  0  1 98  1  0 2025-04-19 13:20:26
 1  0      0  73976    640 147560    0    0 122600    10 1632 1767  1  3 61 34  1 2025-04-19 13:20:31
 0  0      0  70488    496 150896    0    0  4486     5  451  620  0  1 99  0  0 2025-04-19 13:20:36
 3  0      0  66240    348 154896    0    0 125266    10 1656 1814  1  3 58 37  1 2025-04-19 13:20:41
 2  0      0  82416   2664 130700    0    0 26777    10  770  888  1  1 93  5  1 2025-04-19 13:20:47
 0  1      0  74016    416 143840    0    0 18387    31  599  759  0  1 96  2  0 2025-04-19 13:20:52
 3  1      0  69532    168 150968    0    0 205382    10 2045 2112  1  4 16 77  1 2025-04-19 13:20:57
 0  0      0  77084    956 142248    0    0 19481     5  581  784  0  1 93  5  0 2025-04-19 13:21:02
 0  1      0  76232    416 143656    0    0  8782     5  430  620  0  1 98  1  0 2025-04-19 13:21:07
 0  0      0  86516    580 133404    0    0 89180    10 1468 1747  1  2 77 18  1 2025-04-19 13:21:12
 0  0      0  70736   2508 143548    0    0  9984     6  608  775  1  1 97  1  1 2025-04-19 13:21:17
 5  0      0  79448    576 138288    0    0 150265    22 1819 1912  1  4 44 51  0 2025-04-19 13:21:22
 0  0      0  91408   1932 123892    0    0 59320    19  974 1071  1  2 84 13  0 2025-04-19 13:21:27
 0  0      0  80600   2052 134620    0    0  2156    23  434  599  0  0 99  0  0 2025-04-19 13:21:32
 0  0      0  75568    836 143624    0    0 158002     1 1881 2110  1  4 50 45  0 2025-04-19 13:21:37
 1  0      0  83692    640 135392    0    0  6286    10  456  639  1  1 98  1  0 2025-04-19 13:21:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 8  4      0  70864    516 149000    0    0 109162    14 1420 1596  1  3 62 34  1 2025-04-19 13:21:47
 0  0      0  87488    568 131516    0    0 96399     0 1026 1126  1  2 64 33  1 2025-04-19 13:21:52
 0  1      0  97560    160 121076    0    0 14797     6  491  671  0  1 98  1  0 2025-04-19 13:21:57
 0  0      0  84372    292 135576    0    0 150874     8 1782 1913  1  4 55 40  1 2025-04-19 13:22:02
 0  0      0  79504    508 135500    0    0 10461    22  480  654  0  1 98  0  0 2025-04-19 13:22:07
 0  2      0  82324    752 128316    0    0 35936     5 1033 1280  1  1 89  9  0 2025-04-19 13:22:12
 0  0      0  84536    544 135424    0    0 133307    10 1439 1425  1  3 57 38  0 2025-04-19 13:22:17
 1  0      0  77760    840 141832    0    0  1322     5  381  573  0  0 99  0  0 2025-04-19 13:22:22
 0  0      0  92784    304 127220    0    0 119925     9 1609 1870  1  3 60 36  0 2025-04-19 13:22:27
 0  0      0  71456    676 147776    0    0 14700    10  475  628  0  1 97  2  0 2025-04-19 13:22:32
 3  0      0  77124    836 121976    0    0 37980     5  953 1219  1  2 92  5  1 2025-04-19 13:22:37
 0  0      0  87252    452 130400    0    0 168179    17 1720 1685  1  4 41 54  1 2025-04-19 13:22:42
 0  0      0  81464   1456 136460    0    0 11801    13  576  754  0  1 98  0  0 2025-04-19 13:22:47
 1  1      0  71560    308 147152    0    0 77074    17 1282 1533  1  2 77 19  1 2025-04-19 13:22:52
 0  0      0  92452    844 126460    0    0 36016    13  703  897  0  1 90  8  0 2025-04-19 13:22:57
 1  1      0  78952   2348 135644    0    0  6894     7  513  713  0  1 98  1  0 2025-04-19 13:23:02
 0  0      0  77980    236 141288    0    0 154658    14 1933 2041  1  4 49 45  1 2025-04-19 13:23:07
 0  0      0  85460    788 133036    0    0  3508    23  391  578  0  0 98  1  0 2025-04-19 13:23:12
 3  3      0  95996    268 123772    0    0 101913    10 1397 1593  1  3 68 28  0 2025-04-19 13:23:17
 1  0      0  84244    784 134052    0    0 34540     5  701  896  0  1 90  8  0 2025-04-19 13:23:22
 0  0      0  68468   1268 147388    0    0 11810     7  627  768  0  1 98  1  0 2025-04-19 13:23:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  3      0  90684    728 128076    0    0 210430    22 2125 2183  1  5 21 73  0 2025-04-19 13:23:33
 0  0      0  74124    820 144700    0    0 29762     6  680  882  0  1 94  4  1 2025-04-19 13:23:38
 0  3      0  73408    900 144412    0    0 15440    20  521  717  0  1 95  3  1 2025-04-19 13:23:43
 1  1      0  83160    500 133312    0    0 204191    11 2275 2264  1  5 22 72  0 2025-04-19 13:23:48
 0  0      0  80872   2516 125720    0    0 15608    13  626  746  1  2 97  1  0 2025-04-19 13:23:53
 5  3      0  68792   1104 143520    0    0 35306     4 1009 1312  1  1 90  7  1 2025-04-19 13:23:58
 4 12      0  65352    560 144348    0    0 210027    22 2129 1991  1  5 19 74  1 2025-04-19 13:24:03
 0  0      0  76696   2228 130156    0    0 27363    14  854  974  1  1 91  7  0 2025-04-19 13:24:08
 8 12      0  69736    388 140352    0    0 98360    30 1483 1601  1  3 62 33  0 2025-04-19 13:24:13
 0  4      0  86428    320 127648    0    0 210298    27 1913 1842  1  4 14 80  1 2025-04-19 13:24:18
 0  0      0  85140    536 130360    0    0 54279    20  895  986  0  2 84 13  0 2025-04-19 13:24:23
 2  1      0  91468   1128 112232    0    0 41479    10  961 1271  1  2 89  9  0 2025-04-19 13:24:28
 0  0      0  67640    864 149000    0    0 114983    14 1500 1556  1  3 62 35  1 2025-04-19 13:24:33
 1  0      0  75188    524 141920    0    0  9514     6  515  653  1  1 98  0  0 2025-04-19 13:24:38
 2  3      0  89332    412 128068    0    0 118386    10 1580 1738  1  3 59 37  1 2025-04-19 13:24:43
 0  0      0  72292    644 145312    0    0 37138    24  850 1030  1  1 88 10  0 2025-04-19 13:24:49
