procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 5  0      0 110448  17348 269624    0    0  3723   131  784 1001 13  6 75  3  3 2025-04-19 11:58:03
 1  0      0 118576  14516 262276    0    0  4084     0  708  981  2  1 94  0  3 2025-04-19 11:58:04
 0  0      0 115832  14576 262356    0    0    92     0  761  963  1  2 95  0  2 2025-04-19 11:58:05
 0  0      0 114572  15124 262364    0    0   544   180  961 1096  2  2 93  0  2 2025-04-19 11:58:06
 0  0      0 114320  15132 262456    0    0   128    48  979 1061  2  2 93  0  3 2025-04-19 11:58:07
 0  0      0 114320  15132 262500    0    0     0     0  607  786  0  0 99  0  0 2025-04-19 11:58:08
 0  0      0 114320  15132 262504    0    0     0     4  804  886  1  1 97  0  0 2025-04-19 11:58:09
 0  0      0 114320  15132 262508    0    0     0     0  454  692  0  1 99  0  0 2025-04-19 11:58:10
 0  0      0 113564  15132 262508    0    0     0    24  872 1109  2  1 97  0  0 2025-04-19 11:58:11
 0  0      0 141444  15364 266928    0    0  4652    80 2433 2735 18  3 69  2  8 2025-04-19 11:58:12
 0  0      0 141444  15364 266928    0    0     0     0 1401 1148 18  1 81  0  0 2025-04-19 11:58:13
 0  0      0 141204  15368 269220    0    0  2348     8 1299 1074 18  2 79  0  1 2025-04-19 11:58:14
 0  0      0 141204  15368 269276    0    0     0     4  851 1028  2  1 94  0  3 2025-04-19 11:58:15
 0  0      0 140200  15368 269360    0    0    76     0  820 1043  2  2 96  0  1 2025-04-19 11:58:16
 0  0      0 139948  15376 269368    0    0     0   312  875 1113  1  1 97  0  0 2025-04-19 11:58:17
 0  0      0 139948  15376 269368    0    0     0     4 1024  903  5  1 93  0  0 2025-04-19 11:58:18
 0  0      0 139948  15376 269368    0    0     0     0  755  965  4  1 93  0  2 2025-04-19 11:58:19
 0  0      0 139948  15376 269368    0    0     0     0  631  770  4  1 95  0  0 2025-04-19 11:58:20
 1  0      0 138184  15376 269368    0    0     0     0 1024 1174  3  2 94  0  1 2025-04-19 11:58:21
 0  0      0 151104  15384 269480    0    0   124    56 1623 2753  2  1 95  0  1 2025-04-19 11:58:22
 0  0      0 151104  15384 269492    0    0     0     4  583  859  0  0 100  0  0 2025-04-19 11:58:23
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0 151104  15384 269492    0    0     0     4  502  720  0  1 98  0  1 2025-04-19 11:58:24
 0  0      0 151104  15384 269496    0    0     0     0  746  888  1  1 96  0  3 2025-04-19 11:58:25
 0  0      0 149092  15384 269496    0    0     0     0  753 1042  2  2 95  0  1 2025-04-19 11:58:26
 0  0      0 149092  15392 269500    0    0     0   156  600  918  0  1 98  0  1 2025-04-19 11:58:27
 0  0      0 149092  15392 269500    0    0     0     0  481  713  1  0 99  0  0 2025-04-19 11:58:28
 0  0      0 149092  15400 269504    0    0     0    48  849 1011  1  1 97  0  0 2025-04-19 11:58:29
 0  0      0 149092  15400 269504    0    0     0     0  555  783  1  1 99  0  0 2025-04-19 11:58:30
 0  0      0 163368  15400 269504    0    0     0    12 1120 1273  3  3 94  0  1 2025-04-19 11:58:31
 0  0      0 152416  15400 269584    0    0    80     0 1816 3002  3  2 95  0  0 2025-04-19 11:58:32
 0  0      0 169116  15400 269588    0    0     0     0  800  930  1  1 97  0  1 2025-04-19 11:58:33
 0  0      0 168864  15408 269588    0    0     0   192  534  782  1  1 97  0  1 2025-04-19 11:58:34
 0  0      0 168864  15408 269588    0    0     0     4  524  755  0  0 99  0  0 2025-04-19 11:58:35
 0  0      0 166596  15408 269588    0    0     0     4 1050 1006  2  2 95  0  1 2025-04-19 11:58:36
 0  0      0 166596  15408 269588    0    0     0     4  903 1023  1  1 97  0  1 2025-04-19 11:58:37
 0  0      0 166596  15408 269592    0    0     0     0  592  845  0  1 98  0  1 2025-04-19 11:58:38
 0  0      0 166596  15416 269592    0    0     0    68  775  902  1  1 96  0  2 2025-04-19 11:58:39
 0  0      0 166344  15416 269596    0    0     0     0  521  764  1  0 97  0  2 2025-04-19 11:58:40
 0  0      0 163572  15416 269600    0    0     0     0  903 1224  2  2 96  0  1 2025-04-19 11:58:41
 0  0      0 146812  15420 275688    0    0  6084    20 1602 2795  2  2 96  1  0 2025-04-19 11:58:42
 0  0      0 146812  15420 275692    0    0     0     0  771  943  1  1 96  0  1 2025-04-19 11:58:43
 0  0      0 146812  15428 275692    0    0     0   184  498  764  1  0 99  0  0 2025-04-19 11:58:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0 146812  15428 275692    0    0     0     0  455  692  1  0 98  0  1 2025-04-19 11:58:45
 0  0      0 144796  15548 275888    0    0   356     0  891 1039  2  2 95  0  1 2025-04-19 11:58:46
 0  0      0 143060  15724 279876    0    0  3828   476 1031 1350  2  1 97  0  0 2025-04-19 11:58:47
 0  0      0 140288  15732 282780    0    0  2828    72  690  888  1  1 97  0  0 2025-04-19 11:58:48
 0  0      0 140036  15732 282780    0    0     0    12  617  801  1  1 97  0  1 2025-04-19 11:58:49
 0  0      0 140036  15732 282780    0    0     0     0  604  807  1  1 97  0  1 2025-04-19 11:58:50
 0  0      0 138020  15732 282784    0    0     0     0 1260 1353  3  3 93  0  1 2025-04-19 11:58:51
 1  0      0 129324  15732 282788    0    0     0    56 1226 2240  2  1 96  0  1 2025-04-19 11:58:52
 0  0      0 150876  15740 282800    0    0     0    72 1083 1558  2  2 96  0  1 2025-04-19 11:58:53
 0  0      0 150624  15740 282800    0    0     0     4  629  900  1  0 97  0  1 2025-04-19 11:58:54
 0  0      0 149364  15740 282804    0    0     0     4  961 1057  2  2 94  0  3 2025-04-19 11:58:55
 0  0      0 148356  15740 282808    0    0     0     0  893 1163  2  2 96  0  0 2025-04-19 11:58:56
 2  0      0 144036  15740 282808    0    0     0     0  712  941  1  1 96  0  2 2025-04-19 11:58:57
 0  0      0 144036  15748 282812    0    0     0    68  588  846  1  1 98  0  1 2025-04-19 11:58:58
 0  0      0 144036  15748 282812    0    0     0     4 1035 1192  2  2 95  0  1 2025-04-19 11:58:59
 0  0      0 144036  15748 282812    0    0     0     8  622  861  1  1 98  0  1 2025-04-19 11:59:00
 0  0      0 138932  15748 285876    0    0  3064     0 1060 1139  2  2 95  0  1 2025-04-19 11:59:01
 0  0      0 138932  15748 285876    0    0     0     0  906 1339  2  1 96  0  0 2025-04-19 11:59:02
 0  0      0 125836  15756 285924    0    0    44    96 2357 3464  4  7 88  0  1 2025-04-19 11:59:03
 0  0      0 125612  15756 285924    0    0     0     0  930 1323  2  1 97  0  0 2025-04-19 11:59:04
 1  0      0 125612  15756 285924    0    0     0     0  988 1330  1  1 97  0  1 2025-04-19 11:59:05
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 1  0      0 124356  15756 285924    0    0     0     4  968 1157  2  2 94  0  2 2025-04-19 11:59:06
 0  0      0 124356  15764 285928    0    0     0    72 1059 1336  2  2 95  0  2 2025-04-19 11:59:07
 0  0      0 124356  15764 285932    0    0     0     0  677  952  1  0 98  0  1 2025-04-19 11:59:08
 0  0      0 124356  15764 285932    0    0     0     0  949 1144  2  1 96  0  1 2025-04-19 11:59:09
 0  0      0 124132  15764 285932    0    0     0     0  615  788  1  1 95  0  3 2025-04-19 11:59:10
 0  0      0 124132  15764 285932    0    0     0     0 1045 1315  3  2 94  0  1 2025-04-19 11:59:11
 0  0      0 124132  15772 291244    0    0  5308    72  761  962  1  1 97  0  1 2025-04-19 11:59:12
 0  0      0 114680  15772 291244    0    0     0    12 1992 3099  3  3 91  0  2 2025-04-19 11:59:13
 0  0      0 114680  15772 291248    0    0     0     0  557  828  0  0 99  0  0 2025-04-19 11:59:14
 0  0      0 114680  15772 291252    0    0     0     0  722  932  1  1 97  0  1 2025-04-19 11:59:15
 0  0      0 114680  15772 291252    0    0     0     0  876 1035  2  2 94  0  2 2025-04-19 11:59:16
 1  0      0 114680  15780 291260    0    0     0    92  832 1036  1  1 97  0  0 2025-04-19 11:59:17
 0  0      0 114680  15780 291260    0    0     0     4  582  877  0  0 98  0  1 2025-04-19 11:59:18
 0  0      0 114680  15780 291260    0    0     0     8  688  920  1  1 95  0  2 2025-04-19 11:59:19
 0  0      0 114680  15912 291212    0    0   132    24  570  841  1  0 99  0  0 2025-04-19 11:59:20
 1  0      0 114176  15920 291264    0    0     0    72  750  953  2  1 97  0  0 2025-04-19 11:59:21
 1  0      0 114176  15920 291264    0    0     0     4  494  795  1  1 97  0  2 2025-04-19 11:59:22
 0  0      0 138964  15920 291264    0    0     0     0 1444 2576  2  2 96  0  1 2025-04-19 11:59:23
 0  0      0 138716  15920 291268    0    0     0    48  768  979  1  1 97  0  1 2025-04-19 11:59:24
 0  0      0 138492  15920 291272    0    0     0     0  804 1008  1  2 95  0  2 2025-04-19 11:59:25
 0  0      0 124884  16632 309664    0    0 19092    92 1007 1141  2  1 95  1  1 2025-04-19 11:59:26
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0 123120  16632 309668    0    0     0     0  792 1017  1  1 97  0  1 2025-04-19 11:59:27
 0  0      0 123120  16632 309668    0    0     0     0  601  839  1  0 97  0  2 2025-04-19 11:59:28
 0  0      0 122844   2716 287376    0    0 55584   156 1770 4593 16  5 76  2  2 2025-04-19 11:59:29
 0  0      0 122844   3072 287440    0    0   404    84  733 1013  1  1 97  0  1 2025-04-19 11:59:30
 0  0      0 117300   3272 290756    0    0  3508     0 1387 1130 15  2 82  0  0 2025-04-19 11:59:31
 0  0      0 117048   3272 290756    0    0     0     0  601  841  1  1 98  0  0 2025-04-19 11:59:32
 0  0      0  86408   3444 306476    0    0 15892     0 1980 2942  3  5 92  1  0 2025-04-19 11:59:33
 0  0      0  86408   3444 306476    0    0     0     4  615  851  1  1 98  0  0 2025-04-19 11:59:34
 0  0      0  86408   3464 306480    0    0     4   172  825  981  1  1 97  0  0 2025-04-19 11:59:35
 0  0      0  86408   3464 306480    0    0     0     0  606  846  1  1 97  0  1 2025-04-19 11:59:36
 0  0      0  86408   3464 306480    0    0     0     4  555  810  0  1 98  0  1 2025-04-19 11:59:37
 0  0      0  86408   3464 306480    0    0     0     0  625  895  1  1 98  0  0 2025-04-19 11:59:38
 0  0      0  86408   3464 306488    0    0     0     0  797  939  1  1 96  0  2 2025-04-19 11:59:39
 0  0      0  86408   3472 306488    0    0     0    32  550  777  1  1 97  0  1 2025-04-19 11:59:40
 0  0      0  86408   3472 306488    0    0     0     4  827 1215  1  0 97  0  1 2025-04-19 11:59:41
 1  0      0  86408   3472 306488    0    0     0     0  581  848  0  1 98  0  1 2025-04-19 11:59:42
 0  0      0  74808   3472 306488    0    0     0    16 1662 2649  3  2 93  0  2 2025-04-19 11:59:43
 1  0      0  71532   3472 306492    0    0     0     0  596  868  0  0 99  0  0 2025-04-19 11:59:44
 0  0      0  71532   3480 306496    0    0     0    96  757  922  1  1 97  0  1 2025-04-19 11:59:45
 0  0      0  71532   3480 306496    0    0     0     0  731  943  1  1 96  0  2 2025-04-19 11:59:46
 0  0      0  71532   3480 306496    0    0     0     0  587  852  1  1 98  0  0 2025-04-19 11:59:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  71532   3480 306496    0    0     0     4 1059  924 14  1 84  0  1 2025-04-19 11:59:48
 0  0      0  89480   3480 306508    0    0     0     4  736  914  1  1 97  0  0 2025-04-19 11:59:49
 0  0      0  88724   3488 306500    0    0     0    96  627  849  1  1 98  0  0 2025-04-19 11:59:50
 0  0      0  88724   3488 306508    0    0     0    28  553  814  1  0 99  0  0 2025-04-19 11:59:51
 0  0      0  88724   3488 306508    0    0     0     0  516  767  1  1 98  0  0 2025-04-19 11:59:52
 0  0      0  95872   3488 306508    0    0     0     0 1634 2535  3  2 94  0  0 2025-04-19 11:59:53
 0  0      0  95872   3488 306512    0    0     0     4  631  907  1  0 99  0  0 2025-04-19 11:59:54
